0,1,2
10.154177,9.436287,6.8801737
3.192583,11.547191,4.1235576
-2.808851,7.398602,8.229292
6.644889,1.9123565,8.640407
9.75207,9.117226,6.3246217
5.7042294,10.525664,5.639557
2.7109468,3.1077092,9.900297
-1.9370371,6.251838,8.192892
0.7944,7.61746,7.7412558
-2.657327,8.023804,9.871171
-2.3394973,6.856249,9.583498
0.7249747,12.163662,5.3815465
-3.5347104,8.54143,8.078159
0.74568594,5.174042,9.716458
0.3916883,6.601206,7.857163
3.7857447,10.348213,5.1447196
-2.244282,8.64377,6.8033347
-0.100226186,5.3358097,10.3580885
-0.52544904,10.418062,5.2003975
-0.7767017,10.701919,7.276207
-2.4642265,9.613776,7.5036154
-2.4166646,8.472829,8.273527
6.4267907,9.004101,6.773011
6.779804,9.195007,6.5581784
-3.4445598,8.732722,8.167757
7.128188,9.226177,6.677277
2.743897,3.0983157,9.803489
-3.3246143,8.662403,8.718628
10.6392565,9.03722,7.2730365
8.264146,9.2604265,7.386106
9.990792,9.462943,6.7001605
0.007799298,8.998722,6.17987
-2.0481105,7.3563786,10.403187
0.14274561,6.2038407,10.877924
-0.5273613,11.714231,5.950777
2.0026538,7.6210375,9.75806
-0.46398118,7.3694177,10.738417
10.222004,10.146048,7.583833
1.4599764,7.4278207,10.205994
11.120193,9.151472,8.03167
-3.2116094,8.077936,9.053863
-2.4844177,8.319215,7.9817834
5.7566414,9.79994,6.073653
-1.2535495,10.000734,7.3681493
-0.33790943,11.866065,5.682821
3.923524,8.428328,6.6759424
4.776065,11.605251,4.138444
1.0948817,9.245664,6.0256677
-2.1826296,9.466488,8.503728
0.87851375,8.704073,5.7862387
0.7034591,10.198807,5.495969
4.5696483,10.955772,5.3379045
6.3339815,9.011064,6.7539496
9.9908695,6.761449,8.905248
5.9481177,10.110208,6.043743
4.1637664,9.295847,6.0487857
3.5715249,11.766748,5.073633
-0.4204137,7.8143973,9.507003
-2.0248866,5.9964943,8.421864
6.2027593,12.429771,5.2564273
0.40285408,11.918272,5.1118073
6.5004716,9.076396,6.764958
3.837787,12.303807,4.023079
0.026918503,10.019517,5.1280684
1.9225512,3.692539,10.23407
1.1469567,6.5409946,10.354753
1.0938538,6.833274,10.61547
6.697268,10.685502,4.7321377
1.2552387,7.199672,10.495963
9.840185,4.799637,9.14045
7.687131,10.888812,4.856439
-2.734997,10.517763,7.4827113
0.085456185,8.350299,6.784513
12.039808,8.104504,9.347324
0.30104026,7.5389657,10.031791
9.8545885,10.492423,6.564565
9.632336,8.418094,8.332812
9.815353,4.6681232,9.13346
3.9309125,8.233305,6.772384
3.3901665,8.28039,6.5033193
-1.7391928,11.545472,6.078801
3.4409869,6.962963,8.64852
0.88087994,5.9224534,10.261184
-1.3077297,7.2039704,8.796616
1.5935727,7.4750557,7.274177
8.250396,7.764365,8.139312
-1.3319912,7.2436767,8.43731
3.1897836,9.976332,4.964631
-0.14484286,8.301855,9.999621
0.9341424,6.168439,10.879708
-2.2056193,7.0716777,9.736918
3.5648394,11.144141,3.7922163
2.4045599,10.373675,5.041027
-0.23614322,11.792316,5.6711187
3.615265,9.164921,6.4128823
6.00926,8.920789,6.6861067
2.2607749,6.8298306,7.9712625
7.709437,10.841003,4.9239616
-0.52686614,6.238672,9.007242
2.5639408,10.62215,5.472939
4.494366,10.643693,5.7662525
0.09598249,7.75049,10.550637
1.0933644,8.127323,9.955589
6.8596644,11.499463,5.93148
2.1967173,4.963449,9.919469
2.9250553,5.239836,9.242955
5.203963,10.164309,5.065883
8.500676,9.154896,6.493223
-0.22206345,7.8353844,7.2369924
1.25363,6.383727,10.769941
-3.2124107,10.0124855,8.126186
-2.895117,7.0014734,9.162765
-2.7149563,10.269943,7.9187336
0.6234405,4.499703,10.322555
10.138417,5.0484953,9.178559
9.395822,9.661104,7.4561462
9.473713,8.071701,8.402006
7.039515,9.51812,6.5331054
0.104413226,7.894541,6.975989
2.5280392,5.2528358,9.8157015
1.2629812,11.286343,4.4724174
1.640305,7.077179,9.865514
-1.1415422,8.890961,6.9460278
7.318674,8.313058,7.528735
2.2590153,8.264114,6.4222403
5.345973,7.487051,7.789431
4.362249,8.28324,6.921615
1.6361427,7.31954,7.6695585
-3.0762515,8.44506,9.021815
1.0542918,6.125016,8.821171
-0.06804406,5.2749686,9.015981
2.7275152,6.654261,9.717997
1.3021472,6.4107523,10.65588
1.4387177,4.2764707,7.815399
0.091597386,5.868484,9.71753
-0.802886,7.124219,9.536923
-3.3230078,9.454295,8.465301
-1.1050464,6.7241035,10.81747
-1.9970614,10.97975,6.363635
1.5400205,6.738504,10.603016
-2.2507288,10.695419,5.620878
5.4611464,9.43066,5.9908347
5.2675734,9.818234,5.5189533
1.254601,6.685118,10.518496
2.4933665,11.156954,3.492663
3.518631,11.898162,5.3297086
0.30176356,10.647774,5.575292
-2.4631681,7.550733,8.431847
11.438209,8.346121,8.837032
-0.46129733,10.265481,5.398916
2.0266163,6.0827117,10.597434
3.981466,11.121617,5.0709586
-0.23169287,5.5553875,9.256114
8.208091,12.211934,6.193305
3.3066022,9.06722,6.081266
4.601758,10.69903,5.4366555
3.3207397,7.3282394,7.620681
0.7718671,8.669679,6.5538073
-1.2347627,11.016086,6.493332
-2.0587997,9.722306,6.5884237
3.0182235,2.882157,9.746443
-3.3152053,7.8805933,7.933922
2.5153632,11.774428,3.990233
-1.2740846,6.872076,10.410545
-0.18812962,4.851222,8.534668
2.6689072,3.1948006,9.873445
1.4968028,3.9425344,8.6119585
4.662358,10.955747,5.130533
0.41551176,5.935858,10.592703
9.624497,7.1297398,8.721246
7.8091626,9.682672,6.9761057
8.404231,9.67168,7.016412
-0.5629676,7.2476645,7.5984173
-0.15656172,7.862099,7.219004
-1.2035799,7.1750903,10.851502
-1.0297357,6.9889393,10.969994
-0.5488344,5.8534927,10.454533
0.64733166,5.6847253,9.876253
-2.6363645,7.235769,9.549746
1.3062372,5.3696175,9.591811
