0,1,2
9.873455,-2.633739,8.576201
-1.9443327,3.970162,8.264862
-1.4389287,3.552679,9.3887615
8.44823,-3.4520295,3.745951
8.932007,-3.7403188,7.529448
11.449679,13.883694,9.471205
-1.5249716,3.718039,13.072187
11.334423,-2.5686018,9.431149
8.753858,-2.597838,6.9055758
-1.9210569,3.9003818,7.95661
9.896357,-4.993267,6.9622455
11.210545,14.081327,9.198675
11.135715,5.3809376,16.022936
-1.0884997,4.101858,13.873064
8.945236,-4.900891,4.3467917
8.427171,-4.305283,3.8307688
11.229296,5.284729,16.167562
14.888089,5.21964,11.638302
10.916356,-2.290494,9.4641285
-1.9788114,3.6795986,8.280744
-1.5715972,3.3002536,10.88407
9.06574,-4.5367303,6.695133
11.856996,4.791363,4.7261586
11.709807,-0.5061806,10.324655
10.548551,-3.339361,8.502141
9.960757,14.134827,8.373476
8.664121,-3.055717,5.1624937
0.36966714,3.1131065,-1.9799275
12.786912,13.168517,9.733804
8.650107,-4.977193,4.244767
7.971752,14.840025,7.332031
10.695399,-2.8310702,8.856367
-1.9827924,3.9203727,10.610391
-1.949552,3.715681,9.359371
9.662031,-3.7241416,8.717455
-2.0508604,3.1876843,11.460105
-1.2757152,2.484781,10.288426
13.350366,4.6348042,2.7128637
0.14223278,3.4188986,-2.7105694
-2.1241858,3.5722203,8.282715
11.024915,-3.7409377,8.287199
11.390157,-2.3710566,9.534606
10.984035,-2.8212738,10.092166
9.148885,-4.5166044,7.5552526
12.0179825,-1.3254992,10.67852
11.535701,-2.9518676,9.6860485
11.517198,5.4128485,15.927008
9.891062,-4.9034014,7.3200192
10.425157,-2.6132247,9.022817
8.589375,-4.4733043,3.9674594
9.836655,-4.7970047,7.410026
-0.79419315,3.6525536,13.853699
12.860667,13.117326,9.729596
8.167102,-4.906339,5.1624293
8.342208,-3.4557498,5.305632
9.690988,-5.4395223,6.7833476
8.65637,-3.886343,7.5897646
-1.8677603,3.685283,10.640828
10.770311,-0.580518,9.716022
10.474537,-0.9942673,9.588244
8.104849,15.092012,7.6322327
10.542761,-2.387992,9.644817
7.7231517,15.023829,7.521144
11.9543,-0.4740548,10.530369
-1.3819329,3.5343423,11.082819
-0.93654376,2.3692575,11.299621
-0.8985257,2.3663456,11.353569
10.888838,-2.4647315,9.785786
-1.1467423,2.9191105,13.818314
11.71971,4.718941,4.652336
10.67162,14.505367,8.145307
11.210311,13.891638,9.397215
10.243416,-1.175815,9.143547
8.508541,-5.198965,6.258662
-1.0441502,2.8659067,13.600473
8.129344,-3.5548913,5.361912
13.532929,4.6981325,2.8568823
12.550584,8.286506,7.7852163
8.655781,8.900207,5.625983
9.680147,-2.0202222,8.291929
10.6076145,-3.0762208,9.575755
-0.9523167,3.5705001,14.504581
-0.6025369,2.7406569,12.842134
10.720924,-4.288984,8.389358
8.886673,-3.2688034,5.972568
8.562866,-3.8634667,3.4677098
-1.3999646,3.8687866,10.401936
9.5240555,-4.325789,7.4470863
-0.37896633,3.4778154,-2.2891312
-1.5435649,2.8750193,8.618936
-0.8245952,3.174871,13.2001505
0.28292885,3.5885735,-1.8853346
8.872374,-4.2468653,7.0471907
9.294326,-5.456128,6.514937
9.359786,-5.3722386,6.186318
8.856402,-5.194427,5.809592
9.478795,-4.2498937,4.821738
12.251522,-2.0186677,10.493079
9.508199,-3.4804943,6.9868917
10.424678,14.239996,7.7547917
-0.27943978,3.22406,-2.3986387
-0.9515717,2.424043,12.648721
0.74513423,3.3598745,-2.694778
-0.9768767,2.223848,12.398869
-1.8799021,4.151221,11.318519
-1.8742623,4.1998906,11.899759
7.0891085,14.55141,6.9908676
8.382456,-3.7898378,3.7747643
8.842706,-2.7340834,7.1708922
0.23896211,3.7861278,-2.1119342
9.496081,14.497694,8.850289
9.399266,14.436881,7.157052
12.50507,-1.7762629,10.6147585
8.932345,13.987348,8.8091545
8.566701,-3.1616666,2.658938
8.173674,-3.4032223,4.5922775
13.481767,4.8404865,3.5609608
8.290491,-4.86607,4.967163
8.860305,-4.319504,5.7390604
7.8613195,14.228898,7.563699
8.808716,-3.1414185,7.9524918
-0.9874875,2.4677293,12.464843
8.256754,14.651384,8.273266
6.8391886,8.3411255,8.4245825
9.178461,-3.3325045,5.3239474
9.436655,-4.0923195,6.605353
9.807656,-5.137609,6.496719
11.05637,-2.2610533,9.203982
12.763987,-1.6715581,10.704077
