0,1,2
13.283418,4.3371277,10.355907
10.386501,10.857424,7.071023
9.905824,1.462249,12.331416
10.202059,10.205924,7.122025
12.849138,4.7192645,9.961832
13.631626,6.4212384,9.08804
4.674662,9.785813,10.504784
11.529899,15.013252,11.540505
10.794938,1.635143,12.725162
1.67697,-0.3953842,2.8663418
11.517694,13.380743,9.939404
7.4932184,-1.4779072,12.506242
3.073471,10.744096,11.6916685
6.056567,4.065414,6.792187
9.094408,6.376868,4.6604824
7.03858,-2.0428717,12.177154
1.5070641,-0.029241286,2.7370687
6.1431885,4.114439,6.8085384
6.7994814,4.5967364,2.8505974
2.1511533,-1.2372422,3.231062
8.749576,9.994406,6.848565
12.257143,14.270729,10.435587
4.1616554,-3.4580538,5.791441
10.674755,7.9506807,1.9904593
6.4154925,-3.4501708,11.684823
8.8371315,0.27253568,12.871775
-2.9155157,11.430172,11.00268
7.0462575,-2.3075016,12.30058
0.8954623,6.8181806,5.290116
14.238126,11.268949,12.030325
1.5612981,-0.102313295,2.7822266
-1.0368147,12.615687,12.050549
12.424771,3.187834,11.340835
7.814082,9.604471,6.557527
-1.3166176,12.197117,11.759441
11.371943,11.663713,8.784592
8.078201,-1.9436744,13.06386
11.609433,13.040559,10.204846
11.577471,14.423729,11.937217
10.29452,6.988031,-0.40098688
1.0907302,6.999323,5.292578
11.437269,13.264725,9.551856
9.814126,0.63937205,12.829058
4.916955,-4.2918773,7.097978
13.707228,5.308176,9.681673
6.5037556,-2.5163395,11.566905
13.627383,4.6262984,10.17338
11.231261,2.32001,11.927871
6.577413,4.3833113,6.8919134
5.7171474,-4.0318794,8.975119
4.9999504,-4.3664336,7.814877
5.430036,-4.211908,7.9533124
6.254796,-3.4464319,10.779232
11.421009,10.60671,7.7301188
14.318004,11.179769,12.154666
12.694257,4.3695626,10.212357
4.3187428,-3.9748824,6.0257993
10.117586,1.1616533,12.46937
6.4222207,-2.641912,11.679778
10.058038,10.43027,7.5244966
2.5477989,-1.9421443,3.5133235
6.6454372,-2.3834121,12.142811
-3.9654047,7.154895,6.27629
13.393571,4.0924177,10.561667
-3.6075923,6.353718,5.3513346
3.172661,-2.8059404,4.1587515
11.34579,15.112817,11.541377
11.196187,15.327197,12.188644
11.948692,12.860161,9.615404
13.418593,4.9214153,9.889295
11.248381,15.20807,11.980926
12.727229,13.532193,9.339467
-2.002647,11.994249,11.534935
-3.2468357,11.263218,10.78265
11.61161,2.286902,12.313265
9.307438,-0.026857853,13.077563
10.645924,10.631474,7.378107
8.880125,-0.29140228,13.237718
9.933663,6.721932,-0.9251726
12.8290415,12.41691,7.952919
12.811184,13.837993,8.478832
13.052315,3.528638,11.069734
8.684683,-0.58429074,13.161746
12.012103,12.582297,9.404096
10.479656,10.139308,7.487602
4.8597803,-3.863784,7.4857335
5.410053,-4.1633606,8.336038
6.247746,-3.6068313,10.534529
10.731353,10.187256,7.6209054
10.109225,1.417446,12.629195
1.2007728,7.0858555,5.3039775
8.59953,9.627064,6.7834415
11.807362,11.412635,8.947759
8.644052,9.993097,6.7761035
13.283277,3.879523,10.690875
7.203542,-1.8167675,12.261048
5.9946766,-3.512655,10.36023
6.6105137,-2.7511036,11.643874
12.333853,11.062703,7.0484524
3.1278381,-2.3012059,4.247903
13.543018,5.2942376,9.654811
6.425991,-2.962174,11.483052
1.8349919,11.595416,12.053832
6.7979155,9.466068,6.2254286
11.91075,13.2583275,10.916336
3.2921636,8.289505,5.507362
11.651456,14.327474,10.65211
11.014438,11.218629,8.4282875
9.027586,10.046178,7.001734
-3.235601,11.239787,10.758797
6.7443333,-2.1249914,11.99308
3.6477451,-3.2372189,4.8900094
4.0411325,8.570107,5.6178865
13.8079815,6.740305,9.014953
-4.169817,8.470704,7.8308687
-1.0745523,12.282497,11.845095
4.418888,-4.0197244,6.5225453
-2.4367282,12.152225,11.492034
12.826494,3.4563048,11.139073
9.656163,-0.04539939,13.290063
9.261803,6.2311435,-1.8945559
8.090555,-1.3541211,12.984737
4.841098,-3.8734536,6.8351884
0.053072892,12.3121395,12.054748
7.2614536,-2.4399388,12.6287985
11.452128,14.820651,12.08673
5.336107,9.584006,10.043832
6.6225495,12.196275,0.9822605
9.99986,0.54976183,13.028746
12.340158,3.674212,10.806264
5.3395715,-3.8630981,8.760201
6.3738837,-2.6246533,11.672407
6.4439516,-2.5541062,11.622017
5.2282534,-4.111977,8.003131
7.767925,9.418394,7.2281404
11.575756,14.568134,11.107639
11.643654,12.19574,9.453963
5.9810777,-4.452221,9.924499
8.486708,0.04387931,12.702649
7.9797826,9.515566,6.668161
11.555408,12.5952215,8.603776
11.737545,12.666686,9.076038
4.6217847,9.8401,10.858538
11.830658,13.812925,10.54776
5.2685447,-4.563304,7.826302
10.307638,7.0147295,-0.3317479
13.780244,5.664954,9.503548
8.890329,9.9669485,6.9024415
8.313181,9.833954,6.6815214
-0.55925804,5.2753215,5.037616
1.4021678,0.16658115,2.6539092
12.491096,3.1432476,11.331039
1.8964598,11.559547,12.047186
4.6141386,-4.204044,6.4538236
9.654039,8.705251,7.191851
4.477251,9.8962755,10.741075
4.0785513,-3.6793268,5.6070614
12.918717,4.0652666,10.579209
10.761391,7.684036,1.0567999
10.088249,6.841561,-0.62972575
10.841984,2.026677,12.101316
9.772924,1.0153757,12.98931
10.827825,10.743037,7.102435
9.842453,10.004371,7.019244
6.0116796,3.7235668,-2.8627028
11.73525,13.333171,8.939236
10.255793,11.146537,7.4086733
1.2056862,7.089911,5.3269362
11.823325,11.761933,8.541781
-3.3479598,10.82871,10.494963
5.1177998,-4.447116,8.179179
9.322284,10.405191,6.889949
11.866833,12.444291,9.600838
6.402578,4.2800593,6.853784
8.154081,-1.1313875,12.865359
8.678576,5.9177485,4.1507916
13.05733,4.2636776,10.2408285
3.9270747,3.0293663,6.289512
7.673017,5.104782,7.077262
11.586079,11.949509,9.520639
4.621872,8.783441,5.6922393
11.750871,11.422249,8.882759
8.130389,-0.43591627,12.709401
12.96204,11.382034,7.0542955
-4.0926824,9.471395,8.980984
11.238547,2.5664282,11.684661
11.170467,10.973279,8.2199955
8.900638,5.9942646,-2.2657025
1.9473919,11.7102995,12.273761
10.5054865,1.8069474,12.132523
6.699629,-2.848727,11.624091
11.871229,13.213514,10.790871
1.193761,7.0820203,5.303081
0.8456563,12.053849,12.073922
