0,1,2
5.4145846,13.5306835,5.1040077
9.758469,1.9193077,12.61423
8.642626,12.471904,4.595076
10.604159,0.8302439,11.603836
9.247972,11.682716,5.5141473
9.109369,11.66709,5.3091903
0.67779803,4.685446,13.267832
12.075064,2.9997597,11.88664
4.142106,13.2981205,4.429754
8.66179,12.166968,4.9229727
11.302238,2.6853056,13.000686
4.7625914,11.717654,4.712564
0.7228452,4.3751698,13.959362
-4.953751,13.294559,8.291902
12.739424,3.1915233,11.418357
3.7193623,12.48772,4.761277
6.4593215,10.919291,4.439684
-4.8132753,13.313521,8.447083
10.581919,13.05364,15.060837
7.125645,12.540424,4.0583
9.573964,1.3920304,13.236753
12.257396,3.120916,11.759267
5.1665406,12.408356,4.4998856
-1.1356751,-2.5899615,4.6245604
9.4209385,13.192199,5.7321367
5.207291,12.834141,3.838849
2.0100062,5.69612,14.802095
6.9713736,11.786829,5.177336
10.071513,-0.6497376,0.4157008
-1.8425986,7.2244825,6.336935
5.979319,11.447806,5.5490513
0.6750667,6.3991194,14.734594
4.3865705,13.228519,5.0240803
11.73359,2.8438282,12.397656
1.3622186,6.806103,15.418686
9.618935,0.7854346,12.651944
7.9833474,11.702265,5.763405
10.742925,2.0191288,13.058316
11.221157,1.0031091,12.314648
-2.9482927,-0.9074652,3.6020532
10.126958,0.0918757,-0.091085926
11.041194,2.9053106,12.912248
3.0047326,12.744014,4.392695
6.4897785,12.40797,4.30835
8.453532,12.950075,5.321028
7.858289,11.316487,5.2719517
8.352717,13.179886,6.615389
5.8513317,12.867356,4.797329
-5.1126194,13.378636,8.259119
4.483745,12.223657,5.079336
7.062299,12.846373,4.0645046
4.928024,11.563732,4.8781495
6.0004363,11.460635,4.019704
11.532952,1.2163285,10.796292
-1.8780442,7.075304,6.1977124
7.977879,12.852171,5.052473
7.0660143,12.459038,4.0656195
6.2677503,11.122323,5.6166296
8.050556,12.200082,5.6093807
11.069776,1.2697612,12.609565
7.8189673,13.870853,5.292594
9.599155,12.678302,6.6382375
0.6397094,5.3624783,14.072232
6.826092,12.674349,6.0923753
1.043458,4.754378,14.144114
8.387028,13.759462,5.1083975
10.669456,0.28678727,11.715997
9.612147,0.006099173,11.321864
9.628304,-0.020530298,11.409818
6.932962,12.953348,6.747582
11.417332,1.8393008,11.50306
-3.0447028,-2.7268286,6.547395
0.60031223,5.9151154,15.05529
0.6058881,4.932987,14.437523
6.2318134,13.746375,6.0463295
9.102915,12.061601,6.914176
10.737025,1.1215812,11.254178
9.116507,11.826893,6.2172976
-2.9458017,-1.4731909,3.564179
3.2054472,1.4747516,4.227073
-4.050473,5.39817,6.8323393
4.72285,13.282562,3.9165087
7.752455,12.019234,5.5111103
10.683187,0.95212865,10.950618
9.771136,-0.11024461,11.235574
4.0179434,12.334846,4.374326
6.0630794,11.806371,5.8716316
